label,eta,rho,delta,C_avg,C_max,xi4_mean,D_PR,D_gap,D_stab,D_cons,D_err_mean,E_unstable,E_split,deltaJ_max,deltaMarginal_max
success,0.2,0.0,0.1,0.146201,0.200529,0.48894,4.365093,4.0,4.0,4.0,0.091273,6.8e-05,0.51106,0.014023,0.001377
success,0.1,0.0,0.1,0.141013,0.203212,0.486045,4.37611,4.0,4.0,4.0,0.094027,6.8e-05,0.513955,0.017296,0.001377
success,0.0,0.0,0.1,0.138298,0.206509,0.483515,4.3888,4.0,4.0,4.0,0.0972,6.8e-05,0.516485,0.020569,0.001377
success,0.2,0.0,0.5,0.146201,0.200529,0.48894,4.365093,4.0,4.0,4.0,0.091273,0.001818,0.51106,0.01297,0.00186
success,0.3,0.0,0.1,0.153192,0.198533,0.49206,4.376846,4.0,4.0,4.0,0.094211,6.8e-05,0.50794,0.010749,0.001377
dangerous_pseudo_success,0.2,0.0,0.3,0.146201,0.200529,0.48894,4.365093,4.0,4.0,4.0,0.091273,0.000634,0.51106,0.024925,0.002624
dangerous_pseudo_success,0.1,0.0,0.3,0.141013,0.203212,0.486045,4.37611,4.0,4.0,4.0,0.094027,0.000632,0.513955,0.034745,0.002624
dangerous_pseudo_success,0.2,0.0,0.4,0.146201,0.200529,0.48894,4.365093,4.0,4.0,4.0,0.091273,0.001146,0.51106,0.021805,0.002493
dangerous_pseudo_success,0.1,0.0,0.4,0.141013,0.203212,0.486045,4.37611,4.0,4.0,4.0,0.094027,0.001142,0.513955,0.034898,0.002493
dangerous_pseudo_success,0.0,0.0,0.3,0.138298,0.206509,0.483515,4.3888,4.0,4.0,4.0,0.0972,0.000631,0.516485,0.044565,0.002624
fragile,0.3,0.9,0.0,0.193603,0.230467,0.454961,4.738513,4.0,4.0,3.666667,0.267962,-0.0,1.016444,0.0,0.0
fragile,0.3,0.9,0.1,0.193603,0.230467,0.454961,4.738513,4.0,4.0,3.666667,0.267962,6.2e-05,1.016444,0.010749,0.001377
fragile,0.3,0.9,0.2,0.193603,0.230467,0.454961,4.738513,4.0,4.0,3.666667,0.267962,0.000249,1.016444,0.015784,0.002251
fragile,0.3,0.9,0.3,0.193603,0.230467,0.454961,4.738513,4.0,4.0,3.666667,0.267962,0.000567,1.016444,0.015105,0.002624
fragile,0.3,0.9,0.4,0.193603,0.230467,0.454961,4.738513,4.0,4.0,3.666667,0.267962,0.001021,1.016444,0.008712,0.002493
pathological,0.9,1.0,0.3,0.242994,0.307677,0.457545,4.983722,4.0,4.0,3.0,0.49593,0.000769,1.956669,0.043814,0.045959
pathological,0.9,1.0,0.2,0.242994,0.307677,0.457545,4.983722,4.0,4.0,3.0,0.49593,0.000338,1.956669,0.023495,0.030911
pathological,0.9,1.0,0.4,0.242994,0.307677,0.457545,4.983722,4.0,4.0,3.0,0.49593,0.001388,1.956669,0.069847,0.060728
pathological,0.9,1.0,0.5,0.242994,0.307677,0.457545,4.983722,4.0,4.0,3.0,0.49593,0.002215,1.956669,0.101594,0.075216
pathological,0.9,1.0,0.1,0.242994,0.307677,0.457545,4.983722,4.0,4.0,3.0,0.49593,8.4e-05,1.956669,0.00889,0.01559
